;;;;;;;;;;UMBRALES;;;;
INDICATIVO;NOMBRE;ALTITUD;C_X;C_Y;PROVINCIA;LONG;LAT;LONG;LAT;Vmax (Km/h);Tmin (°C);Tmax (°C);Prec 1H (mm);Prec 12H (mm)
B228;PALMA DE MALLORCA, CMT;3;983435;4393329;BALEARES;237311;393312;2° 37' 31'' E;39° 33' 12'';90;-4;39;30;100
B278;PALMA DE MALLORCA/SON SAN JUAN;8;992960;4394769;BALEARES;244121;393339;2° 44' 12'' E;39° 33' 39'';90;-4;39;30;100
B893;MENORCA/AEROPUERTO;91;1117516;4436634;BALEARES;412561;395117;4° 12' 56'' E;39° 51' 17'';100;-4;37;40;100
B954;IBIZA/ES CODOLÁ;6;880396;4312208;BALEARES;123041;385235;1° 23' 4'' E;38° 52' 35'';90;-4;37;40;100
C029O;LANZAROTE/AEROPUERTO;14;-536098;3249414;LAS PALMAS;1336012;285707;13° 36' 1'' O;28° 57' 7'';90;-4;37;30;80
C139E;LA PALMA/AEROPUERTO;33;-950866;3258153;SANTA CRUZ DE TENERIFE;1745182;283759;17° 45' 18'' O;28° 37' 59'';90;-4;37;30;100
C249I;FUERTEVENTURA/AEROPUERTO;25;-567173;3195044;LAS PALMAS;1351472;282641;13° 51' 47'' O;28° 26' 41'';90;-4;37;30;80
C329B;LA GOMERA/AEROPUERTO;219;-904890;3183701;SANTA CRUZ DE TENERIFE;1712392;280154;17° 12' 39'' O;28° 1' 54'';90;-4;37;30;100
C429I;TENERIFE/SUR;64;-839777;3177879;SANTA CRUZ DE TENERIFE;1633402;280249;16° 33' 40'' O;28° 2' 49'';90;-4;37;30;100
C430E;IZAÑA;2371;-830282;3206650;SANTA CRUZ DE TENERIFE;1629582;281832;16° 29' 58'' O;28° 18' 32'';90;-4;37;30;100
C447A;TENERIFE/LOS RODEOS;632;-811227;3223694;SANTA CRUZ DE TENERIFE;1619462;282839;16° 19' 46'' O;28° 28' 39'';90;-4;37;30;100
C449C;STA.CRUZ DE TENERIFE;35;-804039;3221271;SANTA CRUZ DE TENERIFE;1615192;282748;16° 15' 19'' O;28° 27' 48'';90;-4;37;30;100
C649I;GRAN CANARIA/AEROPUERTO;32;-725041;3150786;LAS PALMAS;1523432;275504;15° 23' 43'' O;27° 55' 4'';90;-4;37;30;80
C929I;HIERRO/AEROPUERTO;32;-975736;3167955;SANTA CRUZ DE TENERIFE;1753202;274908;17° 53' 20'' O;27° 49' 8'';90;-4;37;30;100
0016A;REUS/AEROPUERTO;71;849439;4563219;TARRAGONA;109491;410842;1° 9' 49'' E;41° 8' 42'';90;-4;37;40;100
76;BARCELONA/AEROPUERTO;4;924575;4583678;BARCELONA;204121;411734;2° 4' 12'' E;41° 17' 34'';90;-4;39;40;100
0200E;BARCELONA (FABRA);408;928286;4597891;BARCELONA;207271;412506;2° 7' 27'' E;41° 25' 6'';90;-4;37;40;100
367;GIRONA/COSTA BRAVA;143;978053;4656065;GIRONA;245481;415442;2° 45' 48'' E;41° 54' 42'';90;-8;37;40;100
1014;HONDARRIBIA-MALKARROA;4;597873;4801163;GIPUZKOA;147322;432125;1° 47' 32'' O;43° 21' 25'';110;-4;37;30;80
1014A;SAN SEBASTIÁN/FUENTERRABIA;4;597873;4801163;GIPUZKOA;147322;432125;1° 47' 32'' O;43° 21' 25'';110;-4;37;30;80
1024E;SAN SEBASTIÁN,IGUELDO;251;577768;4795286;GIPUZKOA;202282;431823;2° 2' 28'' O;43° 18' 23'';110;-4;37;30;80
1082;BILBAO/AEROPUERTO;42;507593;4793919;BIZKAIA;254232;431753;2° 54' 23'' O;43° 17' 53'';110;-4;37;30;80
1109;SANTANDER/PARAYAS;3;433175;4808220;CANTABRIA;349322;432526;3° 49' 32'' O;43° 25' 26'';110;-4;37;30;80
1109X;SANTANDER AEROPUERTO;3;432708;4808749;CANTABRIA;349532;432543;3° 49' 53'' O;43° 25' 43'';110;-4;37;30;80
1111;SANTANDER I,CMT;52;435270;4815666;CANTABRIA;348022;432928;3° 48' 2'' O;43° 29' 28'';110;-4;37;30;80
1111X;SANTANDER,CMT;52;435270;4815666;CANTABRIA;348022;432928;3° 48' 2'' O;43° 29' 28'';110;-4;37;30;80
1207U;GIJÓN-CAMPUS;26;288175;4822241;ASTURIAS;537162;433123;5° 37' 16'' O;43° 31' 23'';110;-4;37;30;80
1208H;GIJÓN, MUSEL;5;281865;4826551;ASTURIAS;542032;433336;5° 42' 3'' O;43° 33' 36'';110;-4;37;30;80
1212E;ASTURIAS/AVILÉS;127;254162;4828281;ASTURIAS;602392;433401;6° 2' 39'' O;43° 34' 1'';110;-4;37;30;80
1249I;OVIEDO;336;267072;4804067;ASTURIAS;552272;432112;5° 52' 27'' O;43° 21' 12'';110;-8;37;30;80
1249X;OVIEDO;336;267072;4804067;ASTURIAS;552272;432112;5° 52' 27'' O;43° 21' 12'';110;-8;37;30;80
