PROVINCIA;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;ANUAL
A CORU�A;  ;  ;  ;  ;  ;  ; 2;  ;  ;  ;  ;  ;2
ALBACETE;  ;  ;  ;  ;  ; 1; 5; 1;  ;  ;  ;  ;7
ALICANTE;  ;  ;  ;  ;  ;  ; 1; 1;  ;  ;  ;  ;2
ALMERIA;  ;  ;  ;  ;  ; 2;  ; 3;  ;  ;  ;  ;5
ARABA/ALAVA;  ;  ;  ;  ;  ; 1; 4; 1;  ;  ;  ;  ;6
ASTURIAS;  ;  ;  ;  ;  ;  ; 1;  ;  ;  ;  ;  ;1
AVILA;  ;  ;  ;  ;  ;  ; 1;  ;  ;  ;  ;  ;1
BADAJOZ;  ;  ;  ;  ;  ; 3;14; 2;  ;  ;  ;  ;19
BALEARES;  ;  ;  ;  ;  ;  ;  ; 2;  ;  ;  ;  ;2
BARCELONA;  ;  ;  ;  ;  ;  ;  ; 1;  ;  ;  ;  ;1
BIZKAIA;  ;  ;  ;  ;  ; 3; 4; 2; 2;  ;  ;  ;11
BURGOS;  ;  ;  ;  ;  ;  ; 1;  ;  ;  ;  ;  ;1
CACERES;  ;  ;  ;  ;  ; 1; 9; 2;  ;  ;  ;  ;12
CADIZ;  ;  ;  ;  ;  ; 1; 7; 2;  ;  ;  ;  ;10
CEUTA;  ;  ;  ;  ;  ;  ; 1;  ;  ;  ;  ;  ;1
CIUDAD REAL;  ;  ;  ;  ;  ; 3; 5;  ;  ;  ;  ;  ;8
CORDOBA;  ;  ;  ;  ; 1; 6;19; 6; 1;  ;  ;  ;33
CUENCA;  ;  ;  ;  ;  ; 5;12; 3;  ;  ;  ;  ;20
GIPUZKOA;  ;  ;  ;  ;  ; 2; 1;  ;  ;  ;  ;  ;3
GRANADA;  ;  ;  ;  ;  ; 6;12; 4;  ;  ;  ;  ;22
GUADALAJARA;  ;  ;  ;  ;  ; 3; 5;  ;  ;  ;  ;  ;8
HUELVA;  ;  ;  ;  ;  ;  ; 6;  ;  ;  ;  ;  ;6
HUESCA;  ;  ;  ;  ;  ; 4; 4; 1;  ;  ;  ;  ;9
JAEN;  ;  ;  ;  ; 1; 3; 8; 1;  ;  ;  ;  ;13
LA RIOJA;  ;  ;  ;  ;  ; 3; 8; 1;  ;  ;  ;  ;12
LAS PALMAS;  ;  ;  ;  ;  ;  ; 4;  ;  ;  ;  ;  ;4
LEON;  ;  ;  ;  ;  ;  ; 6; 1;  ;  ;  ;  ;7
LLEIDA;  ;  ;  ;  ;  ; 4; 7; 4;  ;  ;  ;  ;15
MADRID;  ;  ;  ;  ;  ; 5;11; 3;  ;  ;  ;  ;19
MALAGA;  ;  ;  ;  ;  ;  ; 1; 2;  ;  ;  ;  ;3
MELILLA;  ;  ;  ;  ;  ;  ; 1;  ;  ;  ;  ;  ;1
MURCIA;  ;  ;  ;  ;  ;  ; 1; 3;  ;  ;  ;  ;4
NAVARRA;  ;  ;  ;  ;  ; 4; 6; 4;  ;  ;  ;  ;14
OURENSE;  ;  ;  ;  ;  ;  ; 9; 4;  ;  ;  ;  ;13
PONTEVEDRA;  ;  ;  ;  ;  ;  ; 4; 1;  ;  ;  ;  ;5
SALAMANCA;  ;  ;  ;  ;  ;  ; 6;  ;  ;  ;  ;  ;6
SANTA CRUZ DE TENERIFE;  ;  ;  ;  ;  ;  ; 4; 1;  ;  ;  ;  ;5
SEGOVIA;  ;  ;  ;  ;  ;  ; 4;  ;  ;  ;  ;  ;4
SEVILLA;  ;  ;  ;  ; 1; 6;20; 7;  ;  ;  ;  ;34
SORIA;  ;  ;  ;  ;  ;  ; 6;  ;  ;  ;  ;  ;6
TARRAGONA;  ;  ;  ;  ;  ; 3; 3; 3;  ;  ;  ;  ;9
TERUEL;  ;  ;  ;  ;  ;  ; 2; 1;  ;  ;  ;  ;3
VALENCIA;  ;  ;  ;  ;  ; 1;  ; 3;  ;  ;  ;  ;4
VALLADOLID;  ;  ;  ;  ;  ; 1; 7;  ;  ;  ;  ;  ;8
ZAMORA;  ;  ;  ;  ;  ;  ; 7; 2;  ;  ;  ;  ;9
ZARAGOZA;  ;  ;  ;  ;  ; 4; 9; 2;  ;  ;  ;  ;15
