PROVINCIA;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;ANUAL
A CORU�A;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 1;1
ALMERIA;  ;  ;  ; 1;  ;  ;  ;  ;  ;  ;  ;  ;1
ARABA/ALAVA;  ;  ;  ;  ;  ;  ;  ;  ;  ; 1;  ;  ;1
BALEARES;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 1;  ;1
CADIZ;  ;  ; 2;  ;  ;  ;  ;  ;  ;  ;  ;  ;2
MADRID;  ;  ; 1;  ; 1;  ; 1;  ; 2; 2; 2; 1;10
NAVARRA;  ;  ;  ;  ;  ;  ;  ;  ;  ; 1;  ;  ;1
SANTA CRUZ DE TENERIFE; 4; 3; 8; 3; 3; 1; 2;  ; 3;  ; 2; 8;37
TARRAGONA; 3;  ; 1; 1;  ;  ;  ;  ;  ;  ; 3;  ;8
VALENCIA;  ;  ;  ;  ;  ;  ;  ; 1;  ;  ;  ;  ;1
ZARAGOZA;  ;  ;  ;  ;  ;  ;  ; 1;  ;  ;  ;  ;1
