"Nº reporte";"Url del reporte";"Usuario";"Grupo";"Fecha del evento";"Hora del evento";"Precisión";"Fecha introducción";"Tipo de fenómeno";"Fiabilidad";"Latitud";"Longitud";"Altitud";"Provincia";"Localidad";"Dirección";"Cod_postal";"Detalles lugar";"Descripción del suceso";"¿Es multirreporte?";"¿Es destacado?";"Daños en bienes";"Daños en campo";"Total daños";"Nº heridos";"Nº muertos";"Fuentes de la información";"Tipo de vórtice";"Nº de vórtices";"¿Otros fenómenos?";"Fujita";"Torro";"Vel.viento Km/h";"¿Nube embudo?";"Nº vórtices en tuba";"Duración";"Otros meteoros";"Longitud trayectoria";"Anchura med. trayectoria";"Anchura máx trayectoria";"Dirección de avance";"Distancia tuba-suelo";"Aumento temperatura";"Tamaño máx. granizo";"Tamaño med. granizo";"Peso máx. granizo";"Espesor capa granizo";"Aspecto del granizo";"Precipitación total";"Hora inicio";"Máx. prec. 5min";"Máx. prec. 10min";"Máx. prec. 15min";"Máx. prec. 30min";"Máx. prec. 1h";"Máx. prec. 3h";"Máx. prec. 24h";"¿Tormenta?";"Tipo de precipitación";"Diametro promedio granizo";"Nieve acumulada";"Equivalencia en agua";"Nieve acumulada en máx. intensidad";"Equivalencia en agua en máx. intensidad";"Duración pico intensidad";"¿Hubo tormenta?";"Tipo de avalancha";"Tipo de flujo";"Tipo de nieve";"Probabilidad de aludes";"Causa de avalancha";"Altitud inicio";"Diferencia altitud inicio-fin";"Cobertura nubosa";"¿Sabe temperatura exacta?";"Temperatura exacta";"Temperatura aproximada";"Velocidad viento";"Dirección viento";"Espesor hielo";"Tipo fenómeno marítimo";"Comentario fen. marítimo"
"1";"https://sinobas.aemet.es/index.php?pag=detal&rep=1";"jriescom";"AEMET";"2012-02-04";"10:00";"+/- 1 hora";"2012-11-05";"Viento de Ladera";"Alta";"36.507";"-4.887";"18";"Málaga";"Marbella";"Av del Mar, 12-16, 29602 Marbella, Málaga, España";"29602";"Viento de ladera procedente del norte que generó bastantes problemas en Marbella y en otros puntos de la franja litoral de la provincia de Málaga, como Rincón de la Victoria y Vélez.";"Viento de ladera del norte que se canaliza muy bien en distintos lugares de la provincia de Málaga";"NO";"NO";"En Marbella, importantes daños en mobiliario urbano. Además un hombre hospitalizado tras caerle encima una rama de una palmera";"";"";"";"";"Información en los medios";"";"";"";"&lt; EF0";"SD";"82";"";"";"120 minutos";"Sin Precipitación";"SD";"SD";"SD";"norte a sur";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"https://sinobas.aemet.es/index.php?pag=detal&rep=2";"jriescom";"AEMET";"2012-08-31";"02:20";"+/- 15 minutos";"2012-11-05";"Reventón / Frente de racha";"Alta";"37.411";"-1.745";"196";"Almería";"Pulpí";"Calle de Abderramán, 8, 04640 Pulpí, Almería, España";"4640";"Tormenta muy fuerte, con gran actividad eléctrica, precipitaciones torrenciales, vientos con rachas muy fuertes y granizo.";"Tormenta muy fuerte, que aparte de precipitaciones torrenciales provocó rachas de viento muy fuertes, seguramente debidas a un reventón.";"NO";"NO";"Importantes daños en el campo y en el mobiliario urbano de Pulpí";"";"";"";"";"Información en los medios";"";"";"";"EF0: 105-137 km/h";"T1: 87-115 km/h";"";"";"";"10 minutos";"Lluvia fuerte, Granizo mediano";"Entre 1 y 2 km";"SD";"SD";"noroeste a sureste";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"https://sinobas.aemet.es/index.php?pag=detal&rep=3";"jriescom";"AEMET";"2012-08-10";"16:50";"+/- 15 minutos";"2012-11-07";"Reventón / Frente de racha";"Alta";"37.048";"-4.864";"472";"Málaga";"Campillos";"Calle de Santa Ana, 23, 29320 Campillos, Málaga, España";"29320";"fenómeno local y organizado de origen convectivo que manifestó rachas muy fuertes de viento y de corta duración que se generaron en el seno de la tormenta a su paso de oeste a este por el término de Campillos, en un entorno muy cálido.";"Con 42º C de temperatura, se formó un fuerte vendaval que duró alrededor de 10-15 minutos llevándose tejas, ramas, hojas, basura, etc. Todo apunta a un reventón seco.";"NO";"NO";"";"Daños en el campo (vallas) y mobiliario urbano de Campillos.";"";"";"";"Informado por un testigo del evento, Información en los medios, Fotos o videos de los daños";"";"";"Tornado";"EF0: 105-137 km/h";"T1: 87-115 km/h";"";"";"";"10 minutos";"Lluvia ligera o moderada";"SD";"SD";"SD";"oeste a este";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"https://sinobas.aemet.es/index.php?pag=detal&rep=4";"Delia";"AEMET";"2012-10-25";"17:00";"+/- 1 hora";"2012-11-07";"Tornado / Tromba Marina";"Alta";"38.737";"-5.673";"414";"Badajoz";"Quintana de la Serena";"Calle del Venero, 75, 06450 Quintana de la Serena, Badajoz, España";"6450";"calle Severo Ochoa";"Joaquín Cáceres, vecino de Quintana que se encontraba en su lugar de trabajo situado en el parque Hernán Cortés, narró que llegó a tener miedo por la velocidad a la que iba el aire. «Solo veía todo blanco del agua y del viento con la fuerza que venía», explicó. 

Por su parte, Diego Dávila se encontraba en el interior del estudio donde trabaja y «de repente ha empezado a entrar agua y las ventanas temblaban». Salieron a la calle, al escuchar a una mujer gritando observaron objetos volando. Una vez pasado todo fue donde estaba su coche y se lo encontró con el techo y la luna destrozados.";"NO";"NO";"daños en casas y coches en el pueblo";"";"";"";"";"Información en los medios";"Tornado";"1";"";"SD";"SD";"";"Si";"1";"2 minutos";"Lluvia fuerte";"SD";"SD";"SD";"SD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"https://sinobas.aemet.es/index.php?pag=detal&rep=9";"jnunez";"AEMET";"2012-09-28";"20:15";"+/- 15 minutos";"2012-11-09";"Tornado / Tromba Marina";"Alta";"38.960";"-0.177";"24";"Valencia";"Gandia";"Carrer dels Carrossers, 3-13, Benieto, 46702 Gandia, Valencia, España";"46702";"Trayectoria desde la zona de las obras del nuevo hospital, polígono Benieto, recinto ferial, Plaza del Prado y Parc del País Valencia";"Lo más probable es que estos daños observados pudieron ser producidos por una tromba marina que penetró en tierra en forma de tornado de intensidad EF1, recorriendo de este a oeste el sur de la ciudad de Gandía la primera, con rachas máximas estimadas de 130 km/h.";"NO";"NO";"La policia local de Gandía ha estimado unos daños de catorce millones de Euros.
Uno de los heridos fue grave y tuvo que ser trasladado a la UCI del hospital de la Ribera.";"";"14000000";"34";"";"Testigo de los daños, Informado por un testigo del evento, Información en los medios, Fotos o videos del evento, Fotos o videos de los daños";"Tornado";"1";"";"EF1: 138-178 km/h";"T2: 116-147 km/h";"";"No";"1";"SD";"Lluvia fuerte, Tormenta";"Entre 4 y 5 km";"SD";"30 metros";"este a oeste";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"https://sinobas.aemet.es/index.php?pag=detal&rep=10";"jriescom";"AEMET";"2012-11-09";"06:20";"+/- 1 hora";"2012-11-12";"Granizada Singular";"Alta";"37.200";"-3.772";"553";"Granada";"Chauchina";"Calle de Lepanto, 4, 18330 Chauchina, Granada, España";"18330";"Granizada severa, con granizos de pequeño diámetro pero acumulando un importante espesor en el suelo";"Granizada de pequeño tamaño, pero de importante espesor acumulado sobre el suelo";"NO";"NO";"";"";"";"";"";"Información en los medios";"";"";"";"";"";"";"";"";"SD";"";"";"";"";"";"";"";"Entre 0,5 y 1";"Entre 0,5 y 1";"SD";"Entre 5 y 10";"SD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"https://sinobas.aemet.es/index.php?pag=detal&rep=11";"jdsoriano";"AEMET";"2012-11-04";"15:00";"+/- 5 minutos";"2012-11-12";"Tornado / Tromba Marina";"Alta";"37.380";"-5.738";"152";"Sevilla";"Mairena del Alcor";"Calle de La Roda de La Mancha, 13, 41510 Mairena del Alcor, Sevilla, España";"41510";"Afectó a los municipios de Mairena del Alcor y El Viso del Alcor";"Según testigos, “ una nube negra se juntó con el suelo“, “una masa de aire distinta de la de alrededor lo movía todo y llevaba cosas volando dentro“. También según testigos “un ruido como un silbido muy fuerte“. Otro testigo, de el viso, indica: “El tornado entró desde Mairena del alcor (pueblo vecino y afectado) por el ala derecha del centro de alta resolución (CARE), y fue avanzando por la zona de la piscina municipal y adentrándose en el pueblo, por el sitio donde yo lo pude ver, le puedo decir que el tornado se desplazó en línea diagonal desde la piscina municipal hasta la zona de la iglesia parroquial, donde ya no pude tener más campo de visión, por lo que el tornado empezó por una esquina del pueblo (piscina cubierta), y fue desplazándose hacia el centro del pueblo al mismo tiempo que avanzaba hacia adelante“";"NO";"NO";"Importantes daños en edificios públicos: derribo de fachada de hospital en construcción, posible desplazamiento estructural del edificio, daños en muros de hormigón de pabellón deportivo. Múltiples daños en cubiertas de naves industriales, desplazamiento y caída de placas solares y depósitos de agua, daños en vehículos por caída de objetos, daños en tejados de casas, antenas ...";"Numerosos árboles arrancados de raíz, algunos de gran porte, y bastantes cortados por el tronco.";"";"";"";"Testigo de los daños, Informado por un testigo del evento, Informado por un testigo de los daños, Información en los medios, Fotos o videos de los daños, Informe por un meteorólogo profesional";"Tornado";"1";"";"SD";"SD";"";"Si";"1";"5 minutos";"Sin Precipitación";"Entre 7 y 8 km";"60 metros";"160 metros";"suroeste a noreste";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"https://sinobas.aemet.es/index.php?pag=detal&rep=12";"jriescom";"AEMET";"2012-11-11";"16:00";"+/- 3 horas";"2012-11-13";"Tornado / Tromba Marina";"Alta";"36.707";"-4.277";"0";"Málaga";"Rincón de la Victoria";"Paseo de la Marina, 29730 Rincón de la Victoria, Málaga, España";"29730";"Trombas marinas por la tarde del 11 de Noviembre, al paso de un sistema lineal de norte a sur que se adentraba en el mar de Alborán.";"Avistamiento de trombas marinas desde el Rincón de la Victoria (Málaga) por la tarde del 11 de Noviembre de 2012";"NO";"NO";"";"";"";"";"";"Informado por un testigo del evento, Fotos o videos del evento";"Tromba Marina";"3";"";"&lt; EF0";"SD";"";"No";"1";"SD";"Lluvia ligera o moderada";"SD";"SD";"SD";"SD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"https://sinobas.aemet.es/index.php?pag=detal&rep=13";"frodriguezh";"AEMET";"2012-11-11";"16:00";"+/- 15 minutos";"2012-11-13";"Tornado / Tromba Marina";"Baja";"36.718";"-4.437";"15";"Málaga";"Málaga";"Calle del Obispo Ángel Herrera Oria, 29007 Málaga, España";"29007";"";"La hora aproximada las cuatro de la tarde. Y sí que hubo lluvia copiosa (con goterones), el cielo se ennegreció y se produjo el tornado. Calma total antes y después del evento. Yo caminaba con mi mujer y mi hijo por el barrio y no sentí una brizna de aire ni antes ni después del destrozo. Estuvieron la policía y los bomberos para trocear el árbol que calló a la carretera. El siniestro se produjo frente al puente de las Américas, al comienzo de la mediana de la Avenida Herrera Oria.";"NO";"NO";"";"Arrancó un árbol de 35 años de antigüedad.";"";"";"";"Informado por un testigo del evento, Informado por un testigo de los daños";"Tornado";"1";"";"SD";"SD";"";"No";"1";"5 minutos";"Lluvia fuerte";"SD";"SD";"SD";"SD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"https://sinobas.aemet.es/index.php?pag=detal&rep=14";"jnunez";"AEMET";"2012-09-28";"20:15";"+/- 15 minutos";"2012-11-14";"Tornado / Tromba Marina";"Alta";"39.020";"-0.175";"7";"Valencia";"Gandia";"Calle Cap de Sant Antoni, 2, 46730 Gandia, Valencia, España";"46730";"La zona de la Playa Nord de Gandía, afectando a urbanizaciones como Aiguablava y Bermudas, atravesando los campos de naranjos hasta desaparecer en el polígono industrial de Xeraco, antes de la estación de tren.";"Lo más probable es que estos daños observados pudieron ser producidos por una tromba marina que penetró en tierra en forma de tornado de intensidad EF1, recorriendo el norte de la Playa Nord, hasta Xeraco , con rachas máximas estimadas de 130 km/h.&lt;br /&gt;No se descarta que los daños en los chiringuitos de la playa no fueran por provocados por el tornado, sino por un desplome previo al tornado, ya que se daban también las condiciones adecuadas.";"NO";"NO";"Arrasó los chiringuitos 8, 7 y 6 por este orden, así como diversas viviendas (balconadas) en la Avenida del Nord y fachada marítima de la playa Nord de Gandia. Entre los dos tornados el de la ciudad y el de la playa, los daños se estiman en 14 millones de euros y 35 personas heridas, una de gravedad.";"";"14000000";"";"";"Testigo de los daños, Informado por un testigo del evento, Informado por un testigo de los daños, Información en los medios, Información en sitios webs, Fotos o videos del evento, Fotos o videos de los daños, Informe por un aficionado entrenado";"Tornado";"1";"Vórtice de racha";"EF1: 138-178 km/h";"T2: 116-147 km/h";"";"No";"1";"SD";"Lluvia fuerte, Tormenta";"Entre 3 y 4 km";"SD";"SD";"este a oeste";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
